epoch,train_acc,train_loss,test_acc
0,91.35881481752749,0.39309513036410015,94.18800000813802
1,94.76155555962457,0.3652326994560383,95.57066672770182
2,96.37518518880208,0.35014260511398315,97.45200004069011
3,98.39792592547381,0.3350163851084533,99.06866673583984
4,99.35533333649812,0.3243740444624866,99.53933339436848
5,99.74651851851851,0.31867870154027583,99.88800002441407
6,99.93488888888889,0.31585826868481104,99.95533333333333
7,99.97237037037037,0.3147926058027479,99.97866666666667
8,99.98177777777778,0.31429603815961765,99.986
9,99.98681481752749,0.31402681665773746,99.99
