epoch,train_acc,train_loss,test_acc
0,82.61325926016349,0.4879636610402001,92.41200000406901
1,97.694,0.34690915996763444,99.91866667887369
2,99.963333336046,0.31661046380466884,99.98
3,99.98148148419415,0.31454967302039816,99.98466666666667
4,99.98281481481482,0.31406533904605444,99.986
5,99.98281481481482,0.3138646617324264,99.986
6,99.98281481752748,0.313757622245506,99.986
7,99.98281481481482,0.31369215699831643,99.986
8,99.98281481481482,0.3136484230182789,99.986
9,99.98281481752748,0.31361736042411237,99.986
10,99.98281481481482,0.31359428720827454,99.986
11,99.98281481481482,0.3135765395111508,99.986
12,99.98281481752748,0.31356253490977815,99.986
13,99.98281481481482,0.3135512120017299,99.986
14,99.98281481481482,0.3135419083242063,99.986
15,99.98281481481482,0.3135341273872941,99.986
16,99.98281481526692,0.31352755360073514,99.986
17,99.98281481481482,0.31352193148577656,99.986
18,99.98281481752748,0.31351707780272875,99.986
19,99.98281481481482,0.31351284837722776,99.986
20,99.98281481481482,0.3135091342025333,99.986
21,99.98281481481482,0.3135058611869812,99.986
22,99.98281481481482,0.31350294871153656,99.986
23,99.98281481481482,0.3135003503640493,99.986
24,99.98281481481482,0.313498011885749,99.986
25,99.98281481481482,0.3134959114498562,99.986
26,99.98281481481482,0.31349401182775144,99.986
27,99.98281481481482,0.3134922817742383,99.986
28,99.98281481481482,0.3134907025672771,99.986
29,99.98281481481482,0.31348927004602223,99.986
30,99.98281481481482,0.31348794986406964,99.986
31,99.98281481481482,0.313486738482228,99.986
32,99.98281481481482,0.3134856289633998,99.986
33,99.98281481481482,0.3134846022658878,99.986
34,99.98281481481482,0.3134836522402587,99.986
35,99.98281481481482,0.31348277418878345,99.986
36,99.98281481481482,0.3134819589420601,99.986
37,99.98281481481482,0.3134812054121936,99.986
38,99.98281481481482,0.31348049743440415,99.986
39,99.98281481481482,0.31347984209767094,99.986
40,99.98281481481482,0.3134792336269661,99.986
41,99.98281481481482,0.3134786654878546,99.986
42,99.98281481481482,0.3134781336236883,99.986
43,99.98281481481482,0.31347763339325235,99.986
44,99.98281481526692,0.31347717055391383,99.986
45,99.98281481481482,0.31347673590094954,99.986
46,99.98281481481482,0.3134763247260341,99.986
47,99.98281481481482,0.3134759443300742,99.986
48,99.98281481481482,0.3134755805050885,99.986
49,99.98281481526692,0.3134752441441571,99.986
50,99.98281481481482,0.3134749256540228,99.986
51,99.98281481752748,0.3134746282683478,99.986
52,99.98281481481482,0.31347434485046954,99.986
53,99.98281481481482,0.31347408293794704,99.986
