epoch,train_acc,train_loss,test_acc
0,84.36725925880715,0.4697954735826563,84.43000000406902
1,84.41874074209707,0.4690750826729668,84.43000000406902
2,84.41874074074074,0.46907508503772594,84.43000000406902
3,84.41874074028863,0.46907509556699684,84.43000000406902
4,84.41874074435763,0.46907510198487173,84.43000000406902
5,84.41874074435763,0.46907511315875583,84.43000000406902
6,84.41874074435763,0.4690751193541068,84.43000000406902
7,84.41874074480975,0.4690751232959606,84.43000000406902
8,84.41874074345341,0.4690751398086548,84.43000000406902
9,84.41874074435763,0.4690751417654532,84.43000000406902
